raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover_1,cloud_base_ft_agl_1,sky_cover_2,cloud_base_ft_agl_2,sky_cover_3,cloud_base_ft_agl_3,sky_cover_4,cloud_base_ft_agl_4,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
ZMUB 051100Z VRB02MPS 9999 FEW033 24/01 Q1012 NOSIG RMK QFE651.9 21 MOP,ZMUB,2025-07-05T11:00:00Z,47.843,106.766,24,1,VRB,4,,6+,29.88,,,,,,TRUE,,,,,FEW,3300,,,,,,,VFR,,,,,,,,,,,,METAR,1300
ZMCK 051100Z 28005MPS 240V340 9999 FEW033 24/03 Q1012 NOSIG,ZMCK,2025-07-05T11:00:00Z,47.651,106.822,24,3,280,10,,6+,29.88,,,,,,TRUE,,,,,FEW,3300,,,,,,,VFR,,,,,,,,,,,,METAR,1366
VNKT 051100Z 21008KT 8000 DZ FEW015 SCT030 BKN100 26/22 Q1006 NOSIG,VNKT,2025-07-05T11:00:00Z,27.697,85.359,26,22,210,8,,4.97,29.70,,,,,,TRUE,,,,DZ,FEW,1500,SCT,3000,BKN,10000,,,MVFR,,,,,,,,,,,,METAR,1334
UBBZ 051100Z 03012KT 9999 SCT083 27/10 Q1010 NOSIG,UBBZ,2025-07-05T11:00:00Z,39.094,46.734,27,10,30,12,,6+,29.82,,,,,,TRUE,,,,,SCT,8300,,,,,,,VFR,,,,,,,,,,,,METAR,489
UBBY 051100Z 30004KT 9999 FEW045CB OVC100 25/19 Q1013 NOSIG,UBBY,2025-07-05T11:00:00Z,41.561,46.667,25,19,300,4,,6+,29.91,,,,,,TRUE,,,,,FEW,4500,OVC,10000,,,,,VFR,,,,,,,,,,,,METAR,383
UBBL 051100Z 04006KT 9999 SCT060 27/14 Q1009 NOSIG,UBBL,2025-07-05T11:00:00Z,38.746,48.818,27,14,40,6,,6+,29.79,,,,,,TRUE,,,,,SCT,6000,,,,,,,VFR,,,,,,,,,,,,METAR,-11
TUPJ 051100Z 09007KT 10SM SCT019 28/24 A3007 RMK Q1018 VIS16KM,TUPJ,2025-07-05T11:00:00Z,18.445,-64.543,28,24,90,7,,10+,30.07,,,,,,,,,,,SCT,1900,,,,,,,VFR,,,,,,,,,,,,METAR,6
SYCJ 051100Z 00000KT 9999 FEW013CB SCT014 24/24 Q1016 NOSIG RMK CB ALQDS,SYCJ,2025-07-05T11:00:00Z,6.499,-58.254,24,24,0,0,,6+,30.00,,,,,,TRUE,,,,,FEW,1300,SCT,1400,,,,,VFR,,,,,,,,,,,,METAR,30
SVVA 051100Z /////KT 9999 BKN016 23/20 Q1012,SVVA,2025-07-05T11:00:00Z,10.154,-67.92,23,20,,,,6+,29.88,,,,,,,,,,,BKN,1600,,,,,,,MVFR,,,,,,,,,,,,METAR,428
SVMI 051100Z 00000KT 9999 SCT016 26/23 Q1015,SVMI,2025-07-05T11:00:00Z,10.603,-66.991,26,23,0,0,,6+,29.97,,,,,,,,,,,SCT,1600,,,,,,,VFR,,,,,,,,,,,,METAR,48
SVBM 051100Z /////KT 8000 BR BKN013 20/20 Q1019,SVBM,2025-07-05T11:00:00Z,10.043,-69.358,20,20,,,,4.97,30.09,,,,,,,,,,BR,BKN,1300,,,,,,,MVFR,,,,,,,,,,,,METAR,624
SUSO 051100Z 04002KT 0200 FG NSC 05/05 Q1025,SUSO,2025-07-05T11:00:00Z,-31.438,-57.982,5,5,40,2,,0.12,30.27,,,,,,,,,,FG,CLR,,,,,,,,LIFR,,,,,,,,,,,,METAR,37
SURV 051100Z 34007KT 0300 FG NSC 02/02 Q1024,SURV,2025-07-05T11:00:00Z,-30.97,-55.474,2,2,340,7,,0.19,30.24,,,,,,,,,,FG,CLR,,,,,,,,LIFR,,,,,,,,,,,,METAR,201
SUMU 051100Z 00000KT 1800 0800NW R19/1700N PRFG BR NSC 08/08 Q1026 NOSIG,SUMU,2025-07-05T11:00:00Z,-34.838,-56.031,8,8,0,0,,1.12,30.30,,,,,,TRUE,,,,PRFG BR,CLR,,,,,,,,IFR,,,,,,,,,,,,METAR,32
