raw_text,station_id,issue_time,bulletin_time,valid_time_from,valid_time_to,remarks,latitude,longitude,elevation_m,fcst_time_from_1,fcst_time_to_1,change_indicator_1,time_becoming,probability_1,wind_dir_degrees_1,wind_speed_kt_1,wind_gust_kt_1,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_1,altim_in_hg,vert_vis_ft,wx_string_1,not_decoded,sky_cover_1,cloud_base_ft_agl_1,cloud_type_1,sky_cover_2,cloud_base_ft_agl_2,cloud_type_2,sky_cover_3,cloud_base_ft_agl_3,cloud_type_3,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_2,fcst_time_to_2,change_indicator_2,time_becoming,probability_2,wind_dir_degrees_2,wind_speed_kt_2,wind_gust_kt_2,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_2,altim_in_hg,vert_vis_ft,wx_string_2,not_decoded,sky_cover_4,cloud_base_ft_agl_4,cloud_type_4,sky_cover_5,cloud_base_ft_agl_5,cloud_type_5,sky_cover_6,cloud_base_ft_agl_6,cloud_type_6,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_3,fcst_time_to_3,change_indicator_3,time_becoming,probability_3,wind_dir_degrees_3,wind_speed_kt_3,wind_gust_kt_3,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_3,altim_in_hg,vert_vis_ft,wx_string_3,not_decoded,sky_cover_7,cloud_base_ft_agl_7,cloud_type_7,sky_cover_8,cloud_base_ft_agl_8,cloud_type_8,sky_cover_9,cloud_base_ft_agl_9,cloud_type_9,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_4,fcst_time_to_4,change_indicator_4,time_becoming,probability_4,wind_dir_degrees_4,wind_speed_kt_4,wind_gust_kt_4,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_4,altim_in_hg,vert_vis_ft,wx_string_4,not_decoded,sky_cover_10,cloud_base_ft_agl_10,cloud_type_10,sky_cover_11,cloud_base_ft_agl_11,cloud_type_11,sky_cover_12,cloud_base_ft_agl_12,cloud_type_12,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_5,fcst_time_to_5,change_indicator_5,time_becoming,probability_5,wind_dir_degrees_5,wind_speed_kt_5,wind_gust_kt_5,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_5,altim_in_hg,vert_vis_ft,wx_string_5,not_decoded,sky_cover_13,cloud_base_ft_agl_13,cloud_type_13,sky_cover_14,cloud_base_ft_agl_14,cloud_type_14,sky_cover_15,cloud_base_ft_agl_15,cloud_type_15,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_6,fcst_time_to_6,change_indicator_6,time_becoming,probability_6,wind_dir_degrees_6,wind_speed_kt_6,wind_gust_kt_6,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_6,altim_in_hg,vert_vis_ft,wx_string_6,not_decoded,sky_cover_16,cloud_base_ft_agl_16,cloud_type_16,sky_cover_17,cloud_base_ft_agl_17,cloud_type_17,sky_cover_18,cloud_base_ft_agl_18,cloud_type_18,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_7,fcst_time_to_7,change_indicator_7,time_becoming,probability_7,wind_dir_degrees_7,wind_speed_kt_7,wind_gust_kt_7,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_7,altim_in_hg,vert_vis_ft,wx_string_7,not_decoded,sky_cover_19,cloud_base_ft_agl_19,cloud_type_19,sky_cover_20,cloud_base_ft_agl_20,cloud_type_20,sky_cover_21,cloud_base_ft_agl_21,cloud_type_21,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c,fcst_time_from_8,fcst_time_to_8,change_indicator_8,time_becoming,probability_8,wind_dir_degrees_8,wind_speed_kt_8,wind_gust_kt_8,wind_shear_hgt_ft_agl,wind_shear_dir_degrees,wind_shear_speed_kt,visibility_statute_mi_8,altim_in_hg,vert_vis_ft,wx_string_8,not_decoded,sky_cover_22,cloud_base_ft_agl_22,cloud_type_22,sky_cover_23,cloud_base_ft_agl_23,cloud_type_23,sky_cover_24,cloud_base_ft_agl_24,cloud_type_24,turbulence_intensity,turbulence_min_alt_ft_agl,turbulence_max_alt_ft_agl,icing_intensity,icing_min_alt_ft_agl,icing_max_alt_ft_agl,valid_time,sfc_temp_c,max_or_min_temp_c,valid_time,sfc_temp_c,max_or_min_temp_c
TAF KSKA 051100Z 0511/0617 VRB06KT 9000 -RA FEW050 BKN070 OVC100 QNH3011INS BECMG 0517/0518 24009KT 9999 NSW SCT060 OVC080 QNH3013INS BECMG 0600/0601 VRB06KT 9999 FEW100 QNH3012INS TX24/0600Z TN14/0512Z,KSKA,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-06T17:00:00Z,,47.612,-117.679,754,2025-07-05T11:00:00Z,2025-07-05T17:00:00Z,,,,VRB,6,,,,,5.59,,,-RA,,FEW,5000,,BKN,7000,,OVC,10000,,,,,,,,,,,,,,2025-07-05T17:00:00Z,2025-07-06T00:00:00Z,BECMG,1751738400,,240,9,,,,,6+,,,NSW,,SCT,6000,,OVC,8000,,,,,,,,,,,,,,,,,2025-07-06T00:00:00Z,2025-07-06T17:00:00Z,BECMG,1751763600,,VRB,6,,,,,6+,,,NSW,,FEW,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF RKSG 051100Z 0511/0617 22010KT 9999 SCT200 QNH2961INS BECMG 0514/0515 22008KT 8000 BR BKN015 QNH2965INS BECMG 0521/0522 22006KT 8000 HZ SCT020 BKN050 QNH2963INS BECMG 0602/0603 22009KT 8000 HZ FEW020 SCT040 QNH2963INS BECMG 0609/0610 23006KT 8000 BR SCT010 BKN020 QNH2961INS BECMG 0613/0614 VRB06KT 6000 BR BKN010 QNH2963INS TX34/0606Z TN24/0517Z,RKSG,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-06T17:00:00Z,,36.962,127.031,12,2025-07-05T11:00:00Z,2025-07-05T14:00:00Z,,,,220,10,,,,,6+,,,,,SCT,20000,,,,,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-05T21:00:00Z,BECMG,1751727600,,220,8,,,,,4.97,,,BR,,BKN,1500,,,,,,,,,,,,,,,,,,,,2025-07-05T21:00:00Z,2025-07-06T02:00:00Z,BECMG,1751752800,,220,6,,,,,4.97,,,HZ,,SCT,2000,,BKN,5000,,,,,,,,,,,,,,,,,2025-07-06T02:00:00Z,2025-07-06T09:00:00Z,BECMG,1751770800,,220,9,,,,,4.97,,,HZ,,FEW,2000,,SCT,4000,,,,,,,,,,,,,,,,,2025-07-06T09:00:00Z,2025-07-06T13:00:00Z,BECMG,1751796000,,230,6,,,,,4.97,,,BR,,SCT,1000,,BKN,2000,,,,,,,,,,,,,,,,,2025-07-06T13:00:00Z,2025-07-06T17:00:00Z,BECMG,1751810400,,VRB,6,,,,,3.73,,,BR,,BKN,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF KBIF 051100Z 0511/0617 VRB06KT 9999 SCT100 510606 QNH2986INS BECMG 0516/0517 36010G20KT 9999 SKC 510606 QNH2982INS BECMG 0522/0523 VRB06KT 9999 SKC 510606 QNH2994INS TX39/0523Z TN20/0606Z,KBIF,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-06T17:00:00Z,,31.861,-106.369,1201,2025-07-05T11:00:00Z,2025-07-05T16:00:00Z,,,,VRB,6,,,,,6+,,,,,SCT,10000,,,,,,,,,,,,,,,,,,,,2025-07-05T16:00:00Z,2025-07-05T22:00:00Z,BECMG,1751734800,,360,10,20,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T22:00:00Z,2025-07-06T17:00:00Z,BECMG,1751756400,,VRB,6,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF KDMA 051100Z 0511/0617 VRB06KT 9999 SCT100 QNH3001INS BECMG 0520/0521 31012G18KT 9999 BKN100 510009 QNH2996INS TEMPO 0523/0601 VRB22G32KT 9000 -TSRA BKN080CB 530009 BECMG 0603/0604 VRB06KT 9999 BKN100 QNH2997INS TX37/0522Z TN26/0512Z,KDMA,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-06T17:00:00Z,,32.165,-110.887,804,2025-07-05T11:00:00Z,2025-07-05T20:00:00Z,,,,VRB,6,,,,,6+,,,,,SCT,10000,,,,,,,,,,,,,,,,,,,,2025-07-05T20:00:00Z,2025-07-06T03:00:00Z,BECMG,1751749200,,310,12,18,,,,6+,,,,,BKN,10000,,,,,,,,,,,,,,,,,,,,2025-07-05T23:00:00Z,2025-07-06T01:00:00Z,TEMPO,,,VRB,22,32,,,,5.59,,,-TSRA,,BKN,8000,CB,,,,,,,,,,,,,,,,,,,2025-07-06T03:00:00Z,2025-07-06T17:00:00Z,BECMG,1751774400,,VRB,6,,,,,6+,,,,,BKN,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF KFFO 051100Z 0511/0617 VRB04KT 9999 SKC QNH3007INS BECMG 0514/0515 19009KT 9999 SCT050 BKN250 QNH3002INS BECMG 0603/0604 VRB06KT 9999 SKC QNH3000INS BECMG 0613/0614 22009KT 9999 SKC QNH2997INS TX33/0520Z TN22/0511Z,KFFO,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-05T11:00:00Z,2025-07-06T17:00:00Z,,39.837,-84.035,250,2025-07-05T11:00:00Z,2025-07-05T14:00:00Z,,,,VRB,4,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T14:00:00Z,2025-07-06T03:00:00Z,BECMG,1751727600,,190,9,,,,,6+,,,,,SCT,5000,,BKN,25000,,,,,,,,,,,,,,,,,2025-07-06T03:00:00Z,2025-07-06T13:00:00Z,BECMG,1751774400,,VRB,6,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-06T13:00:00Z,2025-07-06T17:00:00Z,BECMG,1751810400,,220,9,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDAY 051059Z 0511/0606 VRB02KT 4SM HZ FEW250 FM051200 18004KT P6SM FEW250 FM051500 20008KT P6SM FEW060 FM060000 20005KT P6SM SKC,KDAY,2025-07-05T10:59:00Z,2025-07-05T10:59:00Z,2025-07-05T11:00:00Z,2025-07-06T06:00:00Z,AMD,39.9064,-84.2185,303,2025-07-05T11:00:00Z,2025-07-05T12:00:00Z,,,,VRB,2,,,,,4,,,HZ,,FEW,25000,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T15:00:00Z,FM,,,180,4,,,,,6+,,,,,FEW,25000,,,,,,,,,,,,,,,,,,,,2025-07-05T15:00:00Z,2025-07-06T00:00:00Z,FM,,,200,8,,,,,6+,,,,,FEW,6000,,,,,,,,,,,,,,,,,,,,2025-07-06T00:00:00Z,2025-07-06T06:00:00Z,FM,,,200,5,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOWB 051058Z 0511/0606 00000KT 4SM BR SKC FM051200 00000KT P6SM SKC FM051600 20008KT P6SM SCT050 FM060100 20003KT P6SM SKC,KOWB,2025-07-05T10:58:00Z,2025-07-05T10:58:00Z,2025-07-05T11:00:00Z,2025-07-06T06:00:00Z,AMD,37.7297,-87.1683,121,2025-07-05T11:00:00Z,2025-07-05T12:00:00Z,,,,0,0,,,,,4,,,BR,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T12:00:00Z,2025-07-05T16:00:00Z,FM,,,0,0,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,2025-07-05T16:00:00Z,2025-07-06T01:00:00Z,FM,,,200,8,,,,,6+,,,,,SCT,5000,,,,,,,,,,,,,,,,,,,,2025-07-06T01:00:00Z,2025-07-06T06:00:00Z,FM,,,200,3,,,,,6+,,,,,SKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFSM 051058Z 0511/0606 07003KT P6SM SCT060 SCT120 TEMPO 0511/0512 3SM BR BKN003 FM051600 18006KT P6SM FEW035 SCT050 BKN100,KFSM,2025-07-05T10:58:00Z,2025-07-05T10:58:00Z,2025-07-05T11:00:00Z,2025-07-06T06:00:00Z,AMD,35.3335,-94.3653,136,2025-07-05T11:00:00Z,2025-07-05T16:00:00Z,,,,70,3,,,,,6+,,,,,SCT,6000,,SCT,12000,,,,,,,,,,,,,,,,,2025-07-05T11:00:00Z,2025-07-05T12:00:00Z,TEMPO,,,,,,,,,3,,,BR,,BKN,300,,,,,,,,,,,,,,,,,,,,2025-07-05T16:00:00Z,2025-07-06T06:00:00Z,FM,,,180,6,,,,,6+,,,,,FEW,3500,,SCT,5000,,BKN,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLSE 051057Z 0511/0606 20008KT P6SM SCT250 FM051600 21011KT P6SM BKN020 FM052000 24011KT P6SM BKN020 PROB30 0520/0602 3SM -TSRA BKN015CB FM060300 32007KT P6SM BKN050,KLSE,2025-07-05T10:57:00Z,2025-07-05T10:57:00Z,2025-07-05T11:00:00Z,2025-07-06T06:00:00Z,AMD,43.8792,-91.253,198,2025-07-05T11:00:00Z,2025-07-05T16:00:00Z,,,,200,8,,,,,6+,,,,,SCT,25000,,,,,,,,,,,,,,,,,,,,2025-07-05T16:00:00Z,2025-07-05T20:00:00Z,FM,,,210,11,,,,,6+,,,,,BKN,2000,,,,,,,,,,,,,,,,,,,,2025-07-05T20:00:00Z,2025-07-06T03:00:00Z,FM,,,240,11,,,,,6+,,,,,BKN,2000,,,,,,,,,,,,,,,,,,,,2025-07-05T20:00:00Z,2025-07-06T02:00:00Z,PROB,,30,,,,,,,3,,,-TSRA,,BKN,1500,CB,,,,,,,,,,,,,,,,,,,2025-07-06T03:00:00Z,2025-07-06T06:00:00Z,FM,,,320,7,,,,,6+,,,,,BKN,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRST 051057Z 0511/0606 22011KT 3SM -RA BKN020 TEMPO 0511/0515 3SM -TSRA BKN015CB FM052200 29011KT 3SM -RA BKN020 PROB30 0522/0602 3SM -TSRA BKN015CB FM060200 34009KT P6SM BKN050,KRST,2025-07-05T10:57:00Z,2025-07-05T10:57:00Z,2025-07-05T11:00:00Z,2025-07-06T06:00:00Z,AMD,43.904,-92.4921,398,2025-07-05T11:00:00Z,2025-07-05T22:00:00Z,,,,220,11,,,,,3,,,-RA,,BKN,2000,,,,,,,,,,,,,,,,,,,,2025-07-05T11:00:00Z,2025-07-05T15:00:00Z,TEMPO,,,,,,,,,3,,,-TSRA,,BKN,1500,CB,,,,,,,,,,,,,,,,,,,2025-07-05T22:00:00Z,2025-07-06T02:00:00Z,FM,,,290,11,,,,,3,,,-RA,,BKN,2000,,,,,,,,,,,,,,,,,,,,2025-07-05T22:00:00Z,2025-07-06T02:00:00Z,PROB,,30,,,,,,,3,,,-TSRA,,BKN,1500,CB,,,,,,,,,,,,,,,,,,,2025-07-06T02:00:00Z,2025-07-06T06:00:00Z,FM,,,340,9,,,,,6+,,,,,BKN,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
