icao,latitude,longitude,stn,stnid
VAAH,23.0772,72.634697,Ahmedabad,AMD
VAAK,20.698931,77.056883,Akola,AKD
VAAU,19.86269951,75.39810181,Aurangabad,IXU
VABB,19.08869934,72.86789703,Mumbai,BOM
VABJ,23.28779984,69.67019653,Bhuj,BHJ
VABO,22.336201,73.226303,Vadodara,BDQ
VABP,23.28750038,77.33740234,Bhopal,BHO
VABV,21.75219917,72.18520355,Bhavnagar,BHU
VADN,20.434401,72.843201,Daman,NMB
VAHS,22.378824,71.039391,Rajkot,HSR
VAID,22.72179985,75.80110168,Indore,IDR
VAJB,23.177799,80.052002,Jabalpur,JLR
VAJM,22.46549988,70.01260376,Jamnagar,JGA
VAKE,23.1127,70.100304,Kandla,IXY
VAKP,16.6647,74.289398,Kolhapur,KLH
VAKS,21.317101,70.270401,Keshod,IXK
VALT,18.411501,76.464699,Latur,LTU
VANP,21.092199,79.047203,Nagpur,NAG
VAOZ,20.119101,73.912903,Nasik,ISK
VAPO,18.5821,73.919701,Pune,PNQ
VAPR,21.649524,69.656405,Porbandar,PBD
VARG,17.013599,73.327797,,RTC
VARK,22.30920029,70.77950287,Rajkot,RAJ
VASL,17.62800026,75.93479919,Solapur,SSE
VASU,21.1141,72.741798,Surat,STV
VAUD,24.61770058,73.89610291,Udaipur,UDR
VEAN,28.1753006,94.80200195,,IXV
VEAT,23.886999,91.240402,Agartala,IXA
VEBD,26.68120003,88.32859802,Siliguri,IXB
VEBI,25.70359993,91.97869873,Shillong,SHL
VEBN,25.452129,82.861805,Varanasi,VNS
VEBS,20.24440002,85.81780243,Bhubaneswar,BBI
VEBU,21.9884,82.111,Bilaspur,PAB
VECC,22.654699,88.446701,Kolkata,CCU
VEDB,23.834,86.425301,,DBD
VEDG,23.6225,87.243,Durgapur,RDP
VEDH,26.192801,85.916901,Darbhanga,DBR
VEGK,26.73970032,83.4496994,Gorakhpur,GOP
VEGT,26.10610008,91.58589935,Guwahati,GAU
VEGY,24.744301,84.951202,Gaya,GAY
VEIM,24.76000023,93.896698,Imphal,IMF
VEJS,22.813786,86.169739,Jamshedpur,IXW
VEJT,26.73150063,94.17549896,Jorhat,JRH
VEKR,24.308657,92.00768,Kailashahar,IXH
VEKU,24.91290092,92.97869873,Silchar,IXS
VELP,23.840599,92.619698,Aizawl (Lengpui),AJL
VELR,27.2955,94.097603,Lilabari,IXI
VEMN,27.48390007,95.01689911,Dibrugarh,DIB
VEMR,25.88389969,93.77110291,Dimapur,DMU
VEMZ,26.119101,85.313698,Muzaffarpur,MZU
VEPT,25.591299,85.087997,Patna,PAT
VERC,23.31430054,85.32170105,Ranchi,IXR
VERK,22.256571,84.815193,Rourkela,RRK
VETZ,26.70910072,92.78469849,Tezpur,TEZ
VEZO,27.588301,93.828102,Ziro,ZER
VIAG,27.157683,77.960942,Agra,AGR
VIAR,31.7096,74.797302,Amritsar,ATQ
VIBK,28.070601,73.207199,Bikaner,BKB
VIBR,31.876699,77.154404,Bhuntar,KUU
VIBT,30.2701,74.755798,,BUP
VIBY,28.4221,79.450798,Bareilly,BEK
VICG,30.6735,76.788498,Chandigarh,IXC
VIDN,30.189243,78.176651,Dehradun (Jauligrant),DED
VIDP,28.55563,77.09519,New Delhi,DEL
VIGG,32.164902,76.263018,Kangra,DHM
VIGR,26.29330063,78.22779846,Gwalior,GWL
VIHR,29.179399,75.755302,Hisar,HSS
VIJO,26.25110054,73.04889679,Jodhpur,JDH
VIJP,26.8242,75.812202,Jaipur,JAI
VIJR,26.8887,70.864998,,JSA
VIJU,32.688849,74.838152,Jammu,IXJ
VIKG,26.591007,74.812956,Ajmer (Kishangarh),KQH
VIKO,25.16020012,75.84559631,Kota,KTU
VILD,30.85470009,75.95259857,,LUH
VILH,34.135899,77.546501,Leh,IXL
VILK,26.76059914,80.88929749,Lucknow,LKO
VIPK,32.233611,75.634444,Pathankot,IXP
VIPT,29.0334,79.473701,Pantnagar,PGH
VISR,33.987099,74.7742,Srinagar,SXR
VOAT,10.8237,72.176003,Agatti,AGX
VOBI,15.16279984,76.88279724,Bellary,BEP
VOBL,13.1979,77.706299,Bangalore,BLR
VOBZ,16.530399,80.796799,Gannavaram,VGA
VOCB,11.02999973,77.04340363,Coimbatore,CJB
VOCI,10.151047,76.400838,Kochi,COK
VOCL,11.1368,75.955299,Calicut,CCJ
VOCP,14.513154,78.769183,Kadapa,CDP
VOCX,9.153056,92.819273,IAF Camp,CBD
VOGA,15.744257,73.860625,Mopa,GOX
VOGO,15.3808,73.831398,Vasco da Gama,GOI
VOHS,17.231318,78.429855,Hyderabad,HYD
VOHY,17.4531,78.467598,Hyderabad,BPM
VOKN,11.918614,75.547211,Kannur,CNN
VOKU,15.716288,78.16923,Orvakal,KJB
VOMD,9.83450985,78.09339905,Madurai,IXM
VOML,12.9612999,74.89009857,Mangalore,IXE
VOMM,12.990005,80.169296,Chennai,MAA
VOPB,11.641208,92.729643,Port Blair,IXZ
VOPC,11.968,79.812,Puducherry (Pondicherry),PNY
VOPN,14.14929962,77.79109955,Puttaparthi,PUT
VORY,17.105799,81.813204,Madhurapudi,RJA
VOSM,11.7833004,78.06559753,Salem,SXV
VOTR,10.766223,78.71774,Tiruchirappalli,TRZ
VOTV,8.48212,76.920097,Thiruvananthapuram,TRV
